pregunta,frecuencia
¿Cómo cambio de plan?,142
¿Cómo pido un reembolso?,138
¿Puedo cancelar mi cuenta y qué pasa con mis datos?,127
¿Cuántos usuarios incluye el plan Growth?,98
¿Cómo exporto toda mi información?,89
¿Tienen aplicación móvil?,76
¿Cuánto tardan en responder el soporte?,71
¿Cómo invito a alguien a mi equipo?,64
¿Aceptan transferencia bancaria?,58
¿Tienen inicio de sesión con SSO o SAML?,54
¿Dónde veo si el servicio está caído?,47
¿Cumplen con GDPR y dónde están alojados los datos?,45
¿Cómo recupero mi contraseña?,41
¿Se integra con Salesforce?,38
¿Qué límite de llamadas tiene la API?,33
¿Hay descuento para ONGs o educación?,29
¿Puedo usar un email de Gmail para registrarme?,27
¿Cómo reporto un problema urgente?,24
¿Firman acuerdo de nivel de servicio con penalidades?,19
¿Qué diferencia hay entre Editor y Lector?,16
